epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,220.451,0.46085,0.5186,0.89023,0.84,0.48274,0.53433,0.26423,1.85338,2.10775,1.51156,1.16739e-05,1.16739e-05,1.16739e-05
92,222.873,0.71589,0.70294,0.99524,0.83647,0.48465,0.53402,0.28824,1.86821,2.05816,1.50029,1.07315e-05,1.07315e-05,1.07315e-05
93,225.369,0.47648,0.4585,0.98662,0.83647,0.48465,0.53402,0.28824,1.86821,2.05816,1.50029,9.76562e-06,9.76562e-06,9.76562e-06
94,227.632,0.54758,0.43666,0.88689,0.83647,0.48465,0.53402,0.28824,1.86821,2.05816,1.50029,8.77613e-06,8.77613e-06,8.77613e-06
95,229.976,0.43148,0.45569,0.8977,0.83647,0.48465,0.53402,0.28824,1.86821,2.05816,1.50029,7.76308e-06,7.76308e-06,7.76308e-06
96,232.474,0.43963,0.50702,0.96112,0.8418,0.46538,0.54917,0.29427,1.77364,1.98042,1.44462,6.72648e-06,6.72648e-06,6.72648e-06
97,234.868,0.6939,0.60226,1.0566,0.8418,0.46538,0.54917,0.29427,1.77364,1.98042,1.44462,5.6663e-06,5.6663e-06,5.6663e-06
98,237.223,0.51752,0.48911,0.90982,0.8418,0.46538,0.54917,0.29427,1.77364,1.98042,1.44462,4.58257e-06,4.58257e-06,4.58257e-06
99,239.579,0.47685,0.46095,0.90962,0.8418,0.46538,0.54917,0.29427,1.77364,1.98042,1.44462,3.47528e-06,3.47528e-06,3.47528e-06
100,241.928,0.56182,0.49963,1.00632,0.83129,0.46667,0.57933,0.32017,1.70054,1.84685,1.41561,2.34442e-06,2.34442e-06,2.34442e-06
